system,id,bucket,reason,should_be_rejected,outcome,error_class,error_msg
kndb,0,epistemic_kind,inference_into_obs_slot,True,caught,CheckViolation,"KNDB R5: attribute hba1c is registered as MEASURED, got INFERRED"
kndb,1,epistemic_kind,inference_into_obs_slot,True,caught,CheckViolation,"KNDB R5: attribute hba1c is registered as MEASURED, got INFERRED"
kndb,2,epistemic_kind,inference_into_obs_slot,True,caught,CheckViolation,"KNDB R5: attribute hba1c is registered as MEASURED, got INFERRED"
kndb,3,epistemic_kind,inference_into_obs_slot,True,caught,CheckViolation,"KNDB R5: attribute hba1c is registered as MEASURED, got INFERRED"
kndb,4,epistemic_kind,inference_into_obs_slot,True,caught,CheckViolation,"KNDB R5: attribute hba1c is registered as MEASURED, got INFERRED"
kndb,5,epistemic_kind,derived_no_sources,True,caught,CheckViolation,KNDB R1: DERIVED fact for attribute agg_metric_0 has no sources
kndb,6,epistemic_kind,derived_no_sources,True,caught,CheckViolation,KNDB R1: DERIVED fact for attribute agg_metric_1 has no sources
kndb,7,epistemic_kind,derived_no_sources,True,caught,CheckViolation,KNDB R1: DERIVED fact for attribute agg_metric_2 has no sources
kndb,8,epistemic_kind,derived_no_sources,True,caught,CheckViolation,KNDB R1: DERIVED fact for attribute agg_metric_3 has no sources
kndb,9,epistemic_kind,observation_with_sources,True,caught,ForeignKeyViolation,KNDB R2: 1 source(s) do not resolve to existing facts
kndb,10,epistemic_kind,observation_with_sources,True,caught,ForeignKeyViolation,KNDB R2: 1 source(s) do not resolve to existing facts
kndb,11,epistemic_kind,observation_with_sources,True,caught,ForeignKeyViolation,KNDB R2: 1 source(s) do not resolve to existing facts
kndb,12,epistemic_kind,observation_with_sources,True,caught,ForeignKeyViolation,KNDB R2: 1 source(s) do not resolve to existing facts
kndb,13,epistemic_kind,inference_certain,True,caught,CheckViolation,KNDB R4: INFERRED fact for attribute model_pred_0 claims confidence >= 1.0
kndb,14,epistemic_kind,inference_certain,True,caught,CheckViolation,KNDB R4: INFERRED fact for attribute model_pred_1 claims confidence >= 1.0
kndb,15,epistemic_kind,inference_certain,True,caught,CheckViolation,KNDB R4: INFERRED fact for attribute model_pred_2 claims confidence >= 1.0
kndb,16,epistemic_kind,inference_certain,True,caught,CheckViolation,KNDB R4: INFERRED fact for attribute model_pred_3 claims confidence >= 1.0
kndb,17,epistemic_kind,obs_into_inference_slot,True,caught,CheckViolation,"KNDB R5: attribute is_diabetic is registered as INFERRED, got MEASURED"
kndb,18,epistemic_kind,obs_into_inference_slot,True,caught,CheckViolation,"KNDB R5: attribute is_diabetic is registered as INFERRED, got MEASURED"
kndb,19,epistemic_kind,obs_into_inference_slot,True,caught,CheckViolation,"KNDB R5: attribute is_diabetic is registered as INFERRED, got MEASURED"
