system,kind_mix,theta,clients,runs,tps_median,tps_std,abort_rate_median,correctness_median,correctness_median_ignoring_integrity,integrity_status,goodput_median,p50_ms_median,p99_ms_median,p99_9_ms_median,contested_median,missing_live_median,multi_live_median
epistemic,adversarial,0.5,32,1,3970.40,0.00,0.1057,1.0000,1.0000,PASS,3550.83,6.211,26.433,48.539,36343,0,0
epistemic,adversarial,0.5,8,1,2025.15,0.00,0.0642,1.0000,1.0000,PASS,1895.08,3.223,10.992,12.278,20465,0,0
epistemic,adversarial,0.9,32,1,3547.25,0.00,0.2759,1.0000,1.0000,PASS,2568.48,6.603,18.884,27.931,21919,0,0
epistemic,adversarial,0.9,8,1,2131.50,0.00,0.2484,1.0000,1.0000,PASS,1602.01,2.795,10.660,12.184,14378,0,0
epistemic,easy,0.5,32,1,3940.45,0.00,0.1051,1.0000,1.0000,PASS,3526.29,6.313,25.195,42.980,36243,0,0
epistemic,easy,0.5,8,1,2921.50,0.00,0.0937,1.0000,1.0000,PASS,2647.67,1.919,10.088,11.528,30292,0,0
epistemic,easy,0.9,32,1,3330.45,0.00,0.2713,1.0000,1.0000,PASS,2426.77,6.834,23.934,39.579,20801,0,0
epistemic,easy,0.9,8,1,1929.65,0.00,0.2438,1.0000,1.0000,PASS,1459.24,3.430,11.410,13.577,13337,0,0
epistemic,moderate,0.5,32,1,3903.35,0.00,0.1024,1.0000,1.0000,PASS,3503.69,6.266,27.244,46.120,35727,0,0
epistemic,moderate,0.5,8,1,1886.70,0.00,0.0590,1.0000,1.0000,PASS,1775.42,3.654,11.127,12.728,19091,0,0
epistemic,moderate,0.9,32,1,3343.20,0.00,0.2704,1.0000,1.0000,PASS,2439.19,6.805,24.498,41.164,20855,0,0
epistemic,moderate,0.9,8,1,2014.45,0.00,0.2439,1.0000,1.0000,PASS,1523.22,3.051,10.992,12.621,13741,0,0
pg_conf,adversarial,0.5,32,1,3406.25,0.00,0.1942,INTEGRITY_FAIL,0.7838,FAIL,2151.39,6.313,35.102,62.055,35029,0,7
pg_conf,adversarial,0.5,8,1,1621.25,0.00,0.1477,INTEGRITY_FAIL,0.8100,FAIL,1119.32,4.488,10.482,11.997,18369,0,1
pg_conf,adversarial,0.9,32,1,3327.40,0.00,0.3393,INTEGRITY_FAIL,0.7543,FAIL,1658.20,6.615,21.304,33.368,22344,0,9
pg_conf,adversarial,0.9,8,1,1718.95,0.00,0.3081,INTEGRITY_FAIL,0.7750,FAIL,921.74,3.903,11.278,13.595,12995,0,4
pg_conf,easy,0.5,32,1,3345.80,0.00,0.2649,INTEGRITY_FAIL,0.5348,FAIL,1315.23,6.928,13.386,18.539,36943,0,1
pg_conf,easy,0.5,8,1,2804.20,0.00,0.2604,INTEGRITY_FAIL,0.5386,FAIL,1116.98,1.961,4.335,4.875,33115,0,1
pg_conf,easy,0.9,32,1,2916.60,0.00,0.3615,INTEGRITY_FAIL,0.5407,FAIL,1007.01,7.281,13.898,18.091,20892,0,5
pg_conf,easy,0.9,8,1,2931.30,0.00,0.3601,INTEGRITY_FAIL,0.5395,FAIL,1011.90,2.136,4.590,5.194,20765,0,2
pg_conf,moderate,0.5,32,1,3513.30,0.00,0.2352,INTEGRITY_FAIL,0.6476,FAIL,1739.92,6.880,13.407,18.908,36942,0,2
pg_conf,moderate,0.5,8,1,2522.00,0.00,0.2218,INTEGRITY_FAIL,0.6475,FAIL,1270.92,2.464,5.089,5.749,28526,0,1
pg_conf,moderate,0.9,32,1,2987.10,0.00,0.3500,INTEGRITY_FAIL,0.6335,FAIL,1229.96,6.920,27.206,46.834,20895,0,8
pg_conf,moderate,0.9,8,1,1635.45,0.00,0.3282,INTEGRITY_FAIL,0.6404,FAIL,703.64,4.146,10.893,12.365,12722,0,2
pg_heap,adversarial,0.5,32,1,5527.15,0.00,0.0000,INTEGRITY_FAIL,0.0000,FAIL,0.00,5.591,11.578,16.195,42260,0,42260
pg_heap,adversarial,0.5,8,1,7318.95,0.00,0.0000,INTEGRITY_FAIL,0.0000,FAIL,0.00,0.530,3.737,4.296,50802,0,50802
pg_heap,adversarial,0.9,32,1,5260.50,0.00,0.0000,INTEGRITY_FAIL,0.0000,FAIL,0.00,5.466,15.667,18.980,23316,0,23316
pg_heap,adversarial,0.9,8,1,5421.65,0.00,0.0000,INTEGRITY_FAIL,0.0000,FAIL,0.00,0.503,9.149,10.860,24503,0,24503
pg_heap,easy,0.5,32,1,5384.95,0.00,0.0000,INTEGRITY_FAIL,0.0000,FAIL,0.00,5.728,11.988,17.014,41590,0,41590
pg_heap,easy,0.5,8,1,7161.15,0.00,0.0000,INTEGRITY_FAIL,0.0000,FAIL,0.00,0.524,3.874,4.961,50046,0,50046
pg_heap,easy,0.9,32,1,4729.45,0.00,0.0000,INTEGRITY_FAIL,0.0000,FAIL,0.00,5.878,19.820,31.130,21566,0,21566
pg_heap,easy,0.9,8,1,7176.25,0.00,0.0000,INTEGRITY_FAIL,0.0000,FAIL,0.00,0.535,3.799,4.328,28673,0,28673
pg_heap,moderate,0.5,32,1,5258.95,0.00,0.0000,INTEGRITY_FAIL,0.0000,FAIL,0.00,5.694,15.111,19.512,40743,0,40743
pg_heap,moderate,0.5,8,1,7394.60,0.00,0.0000,INTEGRITY_FAIL,0.0000,FAIL,0.00,0.524,4.054,10.991,51189,0,51189
pg_heap,moderate,0.9,32,1,5378.95,0.00,0.0000,INTEGRITY_FAIL,0.0000,FAIL,0.00,5.737,12.007,16.122,23429,0,23429
pg_heap,moderate,0.9,8,1,7035.45,0.00,0.0000,INTEGRITY_FAIL,0.0000,FAIL,0.00,0.528,3.911,4.549,28076,0,28076
pg_llm,adversarial,0.5,8,1,65.75,0.00,0.1630,0.6760,0.6760,PASS,37.21,3.691,463.865,816.605,889,0,0
pg_llm,adversarial,0.9,8,1,64.15,0.00,0.1712,INTEGRITY_FAIL,0.6498,FAIL,34.55,3.918,456.949,683.801,671,0,7
pg_llm,easy,0.5,8,1,63.25,0.00,0.1732,0.6570,0.6570,PASS,34.36,4.541,466.386,687.323,895,0,0
pg_llm,easy,0.9,8,1,64.20,0.00,0.1848,INTEGRITY_FAIL,0.6567,FAIL,34.37,4.270,461.675,680.591,702,0,6
pg_llm,moderate,0.5,8,1,61.95,0.00,0.1981,0.6207,0.6207,PASS,30.83,3.821,473.511,682.693,891,0,0
pg_llm,moderate,0.9,8,1,62.60,0.00,0.1907,INTEGRITY_FAIL,0.6212,FAIL,31.47,3.621,462.985,749.722,689,0,6
pg_lww,adversarial,0.5,32,1,3732.05,0.00,0.0000,INTEGRITY_FAIL,0.8652,FAIL,3228.85,6.795,39.854,73.684,32144,0,14
